instance	rule_id	focus	enzyme	other_residue	polymer	taxonomy	proposer_id	refs	comment	status	administrator	disputer_id
123	7	N336	NULL	NULL	NULL	NULL	MT			active		NULL
124	7	N337	NULL	NULL	NULL	NULL	MT			active		NULL
125	7	N338	NULL	NULL	NULL	NULL	MT			active		NULL
126	7	N341	NULL	NULL	NULL	NULL	MT			active		NULL
127	7	N343	NULL	NULL	NULL	NULL	MT			active		NULL
128	7	N350	NULL	NULL	NULL	NULL	MT			active		NULL
129	7	N352	NULL	NULL	NULL	NULL	MT			active		NULL
130	7	N354	NULL	NULL	NULL	NULL	MT			active		NULL
131	7	N364	NULL	NULL	NULL	NULL	MT			active		NULL
132	7	N365	NULL	NULL	NULL	NULL	MT	PMID: 27477117	mis-asignment of bisecting GlcNAc	active		NULL
133	7	N366	NULL	NULL	NULL	NULL	MT			active		NULL
134	7	N368	NULL	NULL	NULL	NULL	MT	PMID: 3731182	glycan structure not present in evidence; mis-interpretation of IUPAC nomenclature?	active		NULL
135	7	N372	NULL	NULL	NULL	NULL	MT			active		NULL
136	7	N373	NULL	NULL	NULL	NULL	MT			active		NULL
137	7	N398	NULL	NULL	NULL	NULL	MT			active		NULL
138	7	N399	NULL	NULL	NULL	NULL	MT			active		NULL
139	7	N405	NULL	NULL	NULL	NULL	MT			active		NULL
140	7	N408	NULL	NULL	NULL	NULL	MT			active		NULL
141	7	N418	NULL	NULL	NULL	NULL	MT			active		NULL
142	7	N421	NULL	NULL	NULL	NULL	MT			active		NULL
143	7	N422	NULL	NULL	NULL	NULL	MT			active		NULL
144	7	N430	NULL	NULL	NULL	NULL	MT			active		NULL
145	7	N435	NULL	NULL	NULL	NULL	MT			active		NULL
146	7	N436	NULL	NULL	NULL	NULL	MT		Gala4Gal on glycolipids only; Gala3Gal OK	active		NULL
147	7	N446	NULL	NULL	NULL	NULL	MT			active		NULL
148	7	N447	NULL	NULL	NULL	NULL	MT			active		NULL
149	7	N448	NULL	NULL	NULL	NULL	MT			active		NULL
150	7	N449	NULL	NULL	NULL	NULL	MT			active		NULL
151	7	N451	NULL	NULL	NULL	NULL	MT			active		NULL
152	7	N462	NULL	NULL	NULL	NULL	MT			active		NULL
153	7	N463	NULL	NULL	NULL	NULL	MT			active		NULL
154	7	N87	NULL	NULL	NULL	NULL	MT	PMID: 25165203	Not a valid node	active		NULL
155	8	N202	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
156	8	N204	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
157	8	N211	NULL	NULL	N-glycans	Schistosoma	MT	http://www.glycosciences.de reference 6981	Poorly defined antigen	active		NULL
158	8	N212	NULL	NULL	N-glycans	Schistosoma	MT	http://www.glycosciences.de reference 6981	Poorly defined antigen	active		NULL
159	8	N213	NULL	NULL	N-glycans	Schistosoma	MT	http://www.glycosciences.de reference 6981	Poorly defined antigen	active		NULL
160	8	N217	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
161	8	N218	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
162	8	N219	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
163	8	N220	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
164	8	N221	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
165	8	N225	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
166	8	N263	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
167	8	N264	NULL	NULL	N-mannans	Fungi	MT			active		NULL
168	8	N269	NULL	NULL	N-mannans	Fungi				active		NULL
169	8	N270	NULL	NULL	N-mannans	Fungi		PMID: 8505334		active		NULL
170	8	N275	NULL	NULL	N-glycans	Nematoda or Mollusca	MT	PMID: 31046847		active		NULL
171	8	N283	NULL	NULL	N-mannans	Fungi				active		NULL
172	8	N286	NULL	NULL	N-mannans	Fungi	MT			active		NULL
173	8	N296	NULL	NULL	N-mannans	Fungi	MT			active		NULL
174	8	N300	NULL	NULL	N-mannans	Fungi	MT			active		NULL
175	8	N330	NULL	NULL	N-mannans	Fungi	MT			active		NULL
176	8	N367	NULL	NULL	N-mannans	Fungi				active		NULL
177	8	N389	NULL	NULL	N-mannans	Fungi				active		NULL
178	8	N393	NULL	NULL	N-mannans	Fungi				active		NULL
179	8	N402	NULL	NULL	N-glycans	Nematoda	MT			active		NULL
180	8	N403	NULL	NULL	N-glycans	Nematoda	MT			active		NULL
181	8	N414	NULL	NULL	N-mannans	Fungi	MT			active		NULL
182	8	N419	NULL	NULL	N-mannans	Fungi				active		NULL
183	8	N425	NULL	NULL	N-mannans	Fungi				active		NULL
184	8	N456	NULL	NULL	N-mannans	Fungi	MT			active		NULL
185	8	N467	NULL	NULL	N-glycans	Nematoda	MT			active		NULL
188	1	N97	P16442	N53	NULL	Homo sapiens	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
189	1	N97	P38649	N53	NULL	Mus musculus	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
190	1	N104	P16442	N54	NULL	Homo sapiens	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
191	1	N104	P38649	N54	NULL	Mus musculus	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
192	1	N527	P16442	N71	NULL	Homo sapiens	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
193	1	N527	P38649	N71	NULL	Mus musculus	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
194	1	N528	P16442	N200	NULL	Homo sapiens	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
195	1	N528	P38649	N200	NULL	Mus musculus	NE	PMID: 12198488	ABO glycosylation system (Capping, Step 11, inferred)	active	NE	NULL
196	1	O157	Q02742	O152	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 9	active	NE	NULL
197	1	O157	Q09324	O152	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 9	active	NE	NULL
198	2	O535	Q9WUV2	O156	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
199	2	O535	Q9WUV2	O152	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
200	2	O535	Q9R2B6	O156	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
201	2	O535	Q9R2B6	O152	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
202	2	O535	Q9QYJ1	O156	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
203	2	O535	Q9QYJ1	O152	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
204	2	O535	Q9JM95	O156	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
205	2	O535	Q9JM95	O152	NULL	Mus musculus	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
206	2	O535	Q8NDV1	O156	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
207	2	O535	Q8NDV1	O152	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
208	2	O535	Q9H4F1	O156	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
209	2	O535	Q9H4F1	O152	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
210	2	O535	Q9BVH7	O156	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
211	2	O535	Q9BVH7	O152	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
212	2	O535	Q969X2	O156	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
213	2	O535	Q969X2	O152	NULL	Homo sapiens	NE	N/A	O-GalNAc Core, Step 7	active	NE	NULL
215	1	O548	Q6P4F1	O581	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
216	1	O548	Q495W5	O581	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
217	1	O548	P22083	O581	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
218	1	O548	Q11130	O581	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
219	1	O548	Q9Y231	O581	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
220	1	O548	Q5F2L2	O581	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
221	1	O548	Q8BHC9	O581	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
222	1	O548	Q11127	O581	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
224	1	O548	Q11131	O581	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
225	1	O548	O88819	O581	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
228	1	N107	Q00973	N17	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
229	1	N108	Q00973	N16	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
230	1	N109	Q00973	N38	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
231	1	N107	Q8NHY0	N17	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
232	1	N108	Q8NHY0	N16	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
233	1	N109	Q8NHY0	N38	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
234	1	N107	Q09200	N17	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
235	1	N109	Q09200	N38	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
236	1	N108	Q09200	N16	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
237	1	N107	Q09199	N17	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
238	1	N109	Q09199	N38	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
239	1	N108	Q09199	N16	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
240	1	N82	Q00973	N34	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
241	1	N82	Q8NHY0	N34	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	NULL
242	1	N82	Q09200	N34	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
243	1	N82	Q09199	N34	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	NULL
244	1	O537	Q9UNA3	O168	NULL	Homo sapiens	AA	N/A	O-GalNAc Core, Step 6	active	NE	NULL
245	1	O537	Q14BT6	O168	NULL	Mus musculus	AA	N/A	O-GalNAc Core, Step 6	active	NE	NULL
250	1	O532	P16442	O154	NULL	Homo sapiens	AA	N/A	ABO, O-GalNAc Core, Step 16	active	NE	NULL
251	1	O532	P38649	O154	NULL	Mus musculus	AA	N/A	ABO, O-GalNAc Core, Step 16	active	NE	NULL
252	1	O162	P16442	O154	NULL	Homo sapiens	AA	N/A	ABO, O-GalNAc Core, Step 16	active	NE	NULL
253	1	O162	P38649	O154	NULL	Mus musculus	AA	N/A	ABO, O-GalNAc Core, Step 16	active	NE	NULL
254	1	O708	P16442	O709	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10	active	NE	
255	1	O708	P38649	O709	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10	active	NE	
256	1	N83	P16442	N329	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11	active	NE	
257	1	N83	P38649	N329	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11	active	NE	
258	1	N114	P16442	N102	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
259	1	N114	P38649	N102	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
260	1	N115	P16442	N103	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
261	1	N115	P38649	N103	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
262	1	N116	P16442	N102	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
264	1	N117	P16442	N103	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
265	1	N117	P38649	N103	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
266	1	N116	P38649	N102	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
267	1	N309	P16442	N81	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
268	1	N309	P38649	N81	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
271	1	O166	P16442	O167	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
272	1	O166	P38649	O167	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
273	1	O557	P16442	O167	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
274	1	O557	P38649	O167	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
275	1	O560	P16442	O566	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
276	1	O560	P38649	O566	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
279	1	O570	P16442	O556	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
280	1	O570	P38649	O556	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
281	1	O585	P16442	O556	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
282	1	O585	P38649	O556	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
283	1	O594	P16442	O566	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
284	1	O594	P38649	O566	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
285	1	O615	P16442	O607	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
286	1	O615	P38649	O607	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
287	1	O685	P16442	O659	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
288	1	O685	P38649	O659	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
289	1	O687	P16442	O660	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
290	1	O687	P38649	O660	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
291	1	O714	P16442	O741	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
292	1	O714	P38649	O741	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
293	1	O729	P16442	O683	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
294	1	O729	P38649	O683	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10, inferred	active	NE	
295	1	O733	P16442	O734	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11	active	NE	
296	1	O733	P38649	O734	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11	active	NE	
297	1	O748	P16442	O734	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10	active	NE	
298	1	O748	P38649	O734	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10	active	NE	
299	1	O758	P16442	O747	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 10	active	NE	
300	1	O758	P38649	O747	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 10	active	NE	
301	1	O563	Q6P4F1	O762	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
302	1	O563	Q495W5	O762	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
303	1	O563	P22083	O762	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
304	1	O563	Q11130	O762	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
305	1	O563	Q9Y231	O762	NULL	Homo sapiens	NE	N/A	Capping, Step 4	active	NE	NULL
306	1	O563	Q5F2L2	O762	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
307	1	O563	Q8BHC9	O762	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
308	1	O563	Q11127	O762	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
309	1	O563	Q11131	O762	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
310	1	O563	O88819	O762	NULL	Mus musculus	NE	N/A	Capping, Step 4	active	NE	NULL
311	1	O568	P16442	O607	NULL	Homo sapiens	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
312	1	O568	P38649	O607	NULL	Mus musculus	NE	N/A	ABO, Capping, Step 11, inferred	active	NE	
317	1	O634	Q00973	O159	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	
318	1	O634	Q8NHY0	O159	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	
319	1	O634	Q09200	O159	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	
321	1	O634	Q09199	O159	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	
322	1	O627	Q00973	O587	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	
323	1	O627	Q8NHY0	O587	NULL	Homo sapiens	NE	N/A	Capping, Step 20	active	NE	
324	1	O627	Q09200	O587	NULL	Mus musculus	NE	N/A	Capping, Step 20	active	NE	
